week,category,swap_events,pct_of_week
2026-04-13 00:00:00.000 UTC,Cross-Chain Asset,689723,3.737088321731064
2026-04-13 00:00:00.000 UTC,Tokenized RWA,296752,1.607875094277466
2026-04-13 00:00:00.000 UTC,Liquid Staking,157588,0.853850421756205
2026-04-13 00:00:00.000 UTC,Other,9100,0.049306031157077
2026-04-20 00:00:00.000 UTC,Native Solana,5322269,40.538741942741959
2026-04-20 00:00:00.000 UTC,Stablecoin,4688289,35.709833141465746
2026-04-20 00:00:00.000 UTC,Meme Coin,1316249,10.025626014655058
2026-04-20 00:00:00.000 UTC,Unmapped,1120891,8.537620138129429
2026-04-20 00:00:00.000 UTC,Cross-Chain Asset,507173,3.863043256048551
2026-04-20 00:00:00.000 UTC,Liquid Staking,118461,0.902295601608854
2026-04-20 00:00:00.000 UTC,Tokenized RWA,47042,0.358310242956616
2026-04-20 00:00:00.000 UTC,Other,8472,0.064529662393785
2026-04-27 00:00:00.000 UTC,Stablecoin,4695241,38.200316407678561
2026-04-27 00:00:00.000 UTC,Native Solana,4601011,37.433664426428706
2026-04-27 00:00:00.000 UTC,Meme Coin,1391777,11.323448949463860
2026-04-27 00:00:00.000 UTC,Unmapped,937387,7.626547816490055
2026-04-27 00:00:00.000 UTC,Cross-Chain Asset,521829,4.245582476107722
2026-04-27 00:00:00.000 UTC,Liquid Staking,108088,0.879400184116888
2026-04-27 00:00:00.000 UTC,Tokenized RWA,27678,0.225187239064348
2026-04-27 00:00:00.000 UTC,Other,8094,0.065852500649860
2026-05-04 00:00:00.000 UTC,Native Solana,6402400,41.125469939301006
2026-05-04 00:00:00.000 UTC,Stablecoin,6061457,38.935441028655763
2026-05-04 00:00:00.000 UTC,Meme Coin,1463056,9.397861043907593
2026-05-04 00:00:00.000 UTC,Unmapped,894025,5.742721208060037
2026-05-04 00:00:00.000 UTC,Cross-Chain Asset,539382,3.464691088779216
2026-05-04 00:00:00.000 UTC,Liquid Staking,150135,0.964384048065875
2026-05-04 00:00:00.000 UTC,Tokenized RWA,43123,0.276998256933724
2026-05-04 00:00:00.000 UTC,Other,14390,0.092433386296786
2026-05-11 00:00:00.000 UTC,Stablecoin,5338055,40.067116607693753
2026-05-11 00:00:00.000 UTC,Native Solana,5157436,38.711401364114390
2026-05-11 00:00:00.000 UTC,Meme Coin,1387403,10.413762650040911
2026-05-11 00:00:00.000 UTC,Unmapped,830111,6.230762746792468
2026-05-11 00:00:00.000 UTC,Cross-Chain Asset,411216,3.086562319599441
2026-05-11 00:00:00.000 UTC,Liquid Staking,135802,1.019321563670293
2026-05-11 00:00:00.000 UTC,Tokenized RWA,44866,0.336761470932912
2026-05-11 00:00:00.000 UTC,Other,17894,0.134311277155831
2026-05-18 00:00:00.000 UTC,Stablecoin,5811752,42.341050000852394
2026-05-18 00:00:00.000 UTC,Native Solana,5055135,36.828777930658254
2026-05-18 00:00:00.000 UTC,Meme Coin,1332066,9.704659302467732
2026-05-18 00:00:00.000 UTC,Unmapped,771450,5.620336694194381
2026-05-18 00:00:00.000 UTC,Cross-Chain Asset,575903,4.195694812621202
2026-05-18 00:00:00.000 UTC,Liquid Staking,124860,0.909657449785612
2026-05-18 00:00:00.000 UTC,Tokenized RWA,37428,0.272678672357648
2026-05-18 00:00:00.000 UTC,Other,17452,0.127145137062778
2026-05-25 00:00:00.000 UTC,Stablecoin,4624601,40.616987059145807
2026-05-25 00:00:00.000 UTC,Native Solana,4254213,37.363940017279298
2026-05-25 00:00:00.000 UTC,Meme Coin,1174700,10.317165675131450
2026-05-25 00:00:00.000 UTC,Unmapped,735551,6.460203906962300
2026-05-25 00:00:00.000 UTC,Cross-Chain Asset,438958,3.855284251659446
2026-05-25 00:00:00.000 UTC,Liquid Staking,105522,0.926779566162612
2026-05-25 00:00:00.000 UTC,Tokenized RWA,32659,0.286837757541600
2026-05-25 00:00:00.000 UTC,Other,19675,0.172801766117486
2026-06-01 00:00:00.000 UTC,Stablecoin,7218655,42.655484277816233
2026-06-01 00:00:00.000 UTC,Native Solana,6057385,35.793467153116457
2026-06-01 00:00:00.000 UTC,Meme Coin,1421454,8.399460668038436
2026-06-01 00:00:00.000 UTC,Cross-Chain Asset,977028,5.773319613277853
2026-06-01 00:00:00.000 UTC,Unmapped,894518,5.285762858208852
2026-06-01 00:00:00.000 UTC,Liquid Staking,268509,1.586636489477910
2026-06-01 00:00:00.000 UTC,Tokenized RWA,67655,0.399777630156263
2026-06-01 00:00:00.000 UTC,Other,17954,0.106091309907997
2026-06-08 00:00:00.000 UTC,Stablecoin,5328973,40.696381310453028
2026-06-08 00:00:00.000 UTC,Native Solana,4849303,37.033230226147477
2026-06-08 00:00:00.000 UTC,Meme Coin,1358895,10.377629813637275
2026-06-08 00:00:00.000 UTC,Unmapped,879025,6.712951366317858
2026-06-08 00:00:00.000 UTC,Cross-Chain Asset,454024,3.467297325037512
2026-06-08 00:00:00.000 UTC,Liquid Staking,157154,1.200156035405497
2026-06-08 00:00:00.000 UTC,Tokenized RWA,48459,0.370072421444665
2026-06-08 00:00:00.000 UTC,Other,18631,0.142281501556688
2026-06-15 00:00:00.000 UTC,Stablecoin,5313184,39.990856538654946
2026-06-15 00:00:00.000 UTC,Native Solana,5194864,39.100294844263475
2026-06-15 00:00:00.000 UTC,Meme Coin,1205049,9.070068283170619
2026-06-15 00:00:00.000 UTC,Unmapped,741538,5.581350048475850
2026-06-15 00:00:00.000 UTC,Cross-Chain Asset,474897,3.574417486320372
2026-06-15 00:00:00.000 UTC,Liquid Staking,193428,1.455878696946868
2026-06-15 00:00:00.000 UTC,Tokenized RWA,147220,1.108083947331916
2026-06-15 00:00:00.000 UTC,Other,15817,0.119050154835952
2026-06-22 00:00:00.000 UTC,Stablecoin,5806304,41.281522970976471
2026-06-22 00:00:00.000 UTC,Native Solana,5320271,37.825937032976565
2026-06-22 00:00:00.000 UTC,Meme Coin,1050496,7.468791636627862
2026-06-22 00:00:00.000 UTC,Unmapped,939415,6.679030567772521
2026-06-22 00:00:00.000 UTC,Cross-Chain Asset,431436,3.067413477576476
2026-06-22 00:00:00.000 UTC,Liquid Staking,277727,1.974576861659393
2026-06-22 00:00:00.000 UTC,Tokenized RWA,233080,1.657146676108450
2026-06-22 00:00:00.000 UTC,Other,6411,0.045580776302262
2026-06-29 00:00:00.000 UTC,Stablecoin,1644469,42.109089307520961
2026-06-29 00:00:00.000 UTC,Native Solana,1439585,36.862727926624073
2026-06-29 00:00:00.000 UTC,Meme Coin,311784,7.983695831697718
2026-06-29 00:00:00.000 UTC,Unmapped,256221,6.560922079687929
2026-06-29 00:00:00.000 UTC,Cross-Chain Asset,113158,2.897579904431435
2026-06-29 00:00:00.000 UTC,Liquid Staking,75088,1.922740591597126
2026-06-29 00:00:00.000 UTC,Tokenized RWA,63601,1.628598768993299
2026-06-29 00:00:00.000 UTC,Other,1353,0.034645589447460
